Sample Type,File Name,Path,Instrument Method,Position,Inj Vol,Sample Name
Unknown,CMP010_022723_Lumos_BC_Croco_STD_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D3,5,Croco_10-7_filtrate_B_STD_3 neg
Unknown,CMP010_022723_Lumos_BC_Croco_STD_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D4,5,Croco_10-7_filtrate_B_STD_4 neg
Unknown,CMP010_022723_Lumos_BC_Croco_STD_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D5,5,Croco_10-7_filtrate_B_STD_5 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_0,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D6,5,Pro_11-18_filtrate_B_STD_0 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_1,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D7,5,Pro_11-18_filtrate_B_STD_1 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D8,5,Pro_11-18_filtrate_B_STD_2 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_3,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:D9,5,Pro_11-18_filtrate_B_STD_3 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_4,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E1,5,Pro_11-18_filtrate_B_STD_4 neg
Unknown,CMP016_022723_Lumos_BC_Pro_STD_5,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E2,5,Pro_11-18_filtrate_B_STD_5 neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_07,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP_exomtab_022723_Lumos_BC_pool_08,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:A3,5,CMP_exomtab_pool neg
Unknown,CMP016_022723_Lumos_BC_Pro_11_18_filtrate_2,D:\Kujawinski\2023_0227 CMP Yuting exomtab neg,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,R:E3,5,Pro_11-18_filtrate_2 neg
